Date,Broj redova,Polarity,Rezultat
2022-07-08 21:00:00,3,0.048883333333333355,0
2022-07-08 20:00:00,8,0.08398124999999998,0
2022-07-08 19:00:00,10,0.10265,0
2022-07-08 18:00:00,8,0.3251125,1
2022-07-08 17:00:00,17,-0.07509411764705883,0
2022-07-08 16:00:00,8,-0.07132500000000001,0
2022-07-08 15:00:00,15,0.16654666666666668,0
2022-07-08 14:00:00,8,0.0546625,0
2022-07-08 13:00:00,13,0.07296538461538461,0
2022-07-08 12:00:00,8,0.1292875,0
2022-07-08 11:00:00,8,0.03031875,0
2022-07-08 10:00:00,5,0.11524000000000001,0
2022-07-08 09:00:00,8,0.12506875,0
2022-07-08 08:00:00,6,0.10721666666666667,0
2022-07-08 07:00:00,6,0.09707500000000001,0
2022-07-08 06:00:00,6,-0.17714166666666667,0
2022-07-08 05:00:00,6,0.15031666666666668,0
2022-07-08 04:00:00,12,-0.056841666666666665,0
2022-07-08 03:00:00,7,0.10819999999999999,0
2022-07-08 02:00:00,6,0.01235,0
2022-07-08 01:00:00,4,0.3655625,1
2022-07-08 00:00:00,3,0.38776666666666665,1
2022-07-07 23:00:00,9,0.14333333333333334,0
2022-07-07 22:00:00,8,0.12046875,0
2022-07-07 21:00:00,8,0.02141875,0
2022-07-07 20:00:00,10,0.09684500000000001,0
2022-07-07 19:00:00,12,0.08722083333333333,0
2022-07-07 18:00:00,9,0.0387,0
2022-07-07 17:00:00,13,0.1894076923076923,0
2022-07-07 16:00:00,11,0.11645454545454546,0
2022-07-07 15:00:00,5,0.0005599999999999939,0
2022-07-07 14:00:00,7,-0.0015071428571428577,0
2022-07-07 13:00:00,6,0.08001666666666667,0
2022-07-07 12:00:00,5,0.19551000000000002,0
2022-07-07 11:00:00,10,0.105115,0
2022-07-07 10:00:00,6,0.05673333333333336,0
2022-07-07 09:00:00,1,-0.67005,-1
2022-07-07 08:00:00,6,0.20693333333333333,0
2022-07-07 07:00:00,4,0.6015125,1
2022-07-07 06:00:00,5,0.005389999999999995,0
2022-07-07 05:00:00,7,0.3518071428571429,1
2022-07-07 04:00:00,10,0.02499000000000001,0
2022-07-07 03:00:00,9,0.2021111111111111,0
2022-07-07 02:00:00,5,-0.046939999999999996,0
2022-07-07 01:00:00,5,0.0941,0
2022-07-07 00:00:00,3,0.0,0
2022-07-06 23:00:00,4,0.1726875,0
2022-07-06 22:00:00,5,-0.02474,0
2022-07-06 21:00:00,7,0.0864,0
2022-07-06 20:00:00,4,0.035512499999999995,0
2022-07-06 19:00:00,10,0.023610000000000003,0
2022-07-06 18:00:00,10,0.018570000000000007,0
2022-07-06 17:00:00,10,0.15631,0
2022-07-06 16:00:00,7,0.1717857142857143,0
2022-07-06 15:00:00,10,0.288235,1
2022-07-06 14:00:00,12,0.13015416666666668,0
2022-07-06 13:00:00,11,0.03416818181818182,0
2022-07-06 12:00:00,10,0.024065000000000003,0
2022-07-06 11:00:00,4,-0.054387500000000005,0
2022-07-06 10:00:00,9,0.14008333333333334,0
2022-07-06 09:00:00,8,0.11938750000000001,0
2022-07-06 08:00:00,4,-0.123475,0
2022-07-06 07:00:00,9,-0.04714444444444443,0
2022-07-06 06:00:00,6,0.15115,0
2022-07-06 05:00:00,4,-0.085,0
2022-07-06 04:00:00,7,0.1217142857142857,0
2022-07-06 03:00:00,13,-0.02684615384615385,0
2022-07-06 02:00:00,9,0.24053333333333332,0
2022-07-06 01:00:00,6,0.07950833333333333,0
2022-07-06 00:00:00,6,0.46013333333333334,1
2022-07-05 23:00:00,3,-0.16386666666666666,0
2022-07-05 22:00:00,8,-0.08493124999999999,0
2022-07-05 21:00:00,7,-0.13397857142857142,0
2022-07-05 20:00:00,7,-0.09682857142857142,0
2022-07-05 19:00:00,14,0.24519285714285716,0
2022-07-05 18:00:00,8,-0.0508125,0
2022-07-05 17:00:00,11,0.25414545454545456,0
2022-07-05 16:00:00,6,0.23705833333333332,0
2022-07-05 15:00:00,10,0.10141,0
2022-07-05 14:00:00,9,0.011322222222222221,0
2022-07-05 13:00:00,7,-0.0997,0
2022-07-05 12:00:00,10,0.191965,0
2022-07-05 11:00:00,9,0.20426111111111112,0
2022-07-05 10:00:00,6,-0.07975,0
2022-07-05 09:00:00,5,0.23534,0
2022-07-05 08:00:00,5,0.016039999999999995,0
2022-07-05 07:00:00,6,-0.02038333333333332,0
2022-07-05 06:00:00,4,0.10255,0
2022-07-05 05:00:00,5,0.0,0
2022-07-05 04:00:00,2,0.0,0
2022-07-05 03:00:00,7,-0.02909285714285715,0
2022-07-05 02:00:00,7,-0.03462857142857143,0
2022-07-05 01:00:00,7,0.11439285714285714,0
2022-07-05 00:00:00,10,0.196145,0
2022-07-04 23:00:00,15,0.37805,1
2022-07-04 22:00:00,4,0.36795,1
2022-07-04 21:00:00,7,0.12004285714285716,0
2022-07-04 20:00:00,7,-0.12717142857142857,0
2022-07-04 19:00:00,13,0.11872692307692308,0
2022-07-04 18:00:00,12,0.24905,0
